Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
15.10.2017,Gotthard 5,5,N1,15:00,15:13,16:15,16:27,17:58,18:09,3D,"BLADE RUNNER 2049 ",14,01:10,19:30,3D,"BLADE RUNNER 2049 "
15.10.2017,Gotthard 8,8,N2,17:00,17:15,18:06,18:18,19:42,19:48,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:16,20:15,2D,KINGSMAN: THE GOLDEN CIRCLE
15.10.2017,Gotthard 2,2,N2,17:00,17:18,18:21,18:33,19:38,19:45,2D,ES,16,00:19,20:15,2D,ES
15.10.2017,Gotthard 1,1,N2,17:15,17:31,18:34,18:46,19:24,19:32,3D,"CARS 3 - EVOLUTION ",6,00:17,20:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
15.10.2017,Gotthard 6,6,N2,17:15,17:27,18:08,18:20,19:14,19:18,2D,FLITZER,12,00:31,20:00,2D,FLITZER
15.10.2017,Gotthard 7,7,N2,17:30,17:47,18:24,18:36,19:51,19:58,2D,KILLER'S BODYGUARD,16,00:21,20:30,2D,BARRY SEAL: ONLY IN AMERICA
15.10.2017,Gotthard 4,4,N2,17:30,17:46,18:30,18:42,19:37,19:47,2D,BORG/MCENROE,6,00:32,20:30,2D,BORG/MCENROE
15.10.2017,Gotthard 3,3,N2,17:30,17:49,18:30,18:42,19:45,19:53,2D,AMERICAN ASSASSIN,16,00:41,20:45,2D,AMERICAN ASSASSIN
15.10.2017,Gotthard 5,5,HV,19:30,19:43,20:45,20:57,22:28,22:39,3D,"BLADE RUNNER 2049 ",14,,,,
15.10.2017,Gotthard 6,6,HV,20:00,20:15,20:56,21:07,22:01,22:05,2D,FLITZER,12,,,,
15.10.2017,Gotthard 1,1,HV,20:00,20:17,21:00,21:12,22:02,22:10,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,
